time,pv_kw,load_kw,shortwave_radiation,cloud_cover,temperature_2m,period,import_price,export_price
2026-05-08 00:00:00,0.0,0.4302654392002984,0.0,0,10.3,off_peak,0.18,0.06
2026-05-08 01:00:00,0.0,0.4661732785745272,0.0,0,10.1,off_peak,0.18,0.06
2026-05-08 02:00:00,0.0,0.41700156731801347,0.0,1,10.1,off_peak,0.18,0.06
2026-05-08 03:00:00,0.0,0.3324587797617721,0.0,2,10.1,off_peak,0.18,0.06
2026-05-08 04:00:00,0.0,0.4169983581237911,0.0,2,10.1,off_peak,0.18,0.06
2026-05-08 05:00:00,0.0,0.629301926108408,0.0,5,10.1,off_peak,0.18,0.06
2026-05-08 06:00:00,0.0,1.2597184453036276,0.0,2,9.9,off_peak,0.18,0.06
2026-05-08 07:00:00,0.030888,1.9697946780784383,6.0,2,10.1,shoulder,0.3,0.06
2026-05-08 08:00:00,0.622908,1.8503705907545938,121.0,3,11.4,shoulder,0.3,0.06
2026-05-08 09:00:00,1.5443999999999998,1.2661235016090455,300.0,7,13.0,shoulder,0.3,0.06
2026-05-08 10:00:00,2.3165999999999998,0.8260487868819144,450.0,3,14.7,shoulder,0.3,0.06
2026-05-08 11:00:00,2.8983239999999997,0.5825968921135916,563.0,2,16.2,shoulder,0.3,0.06
2026-05-08 12:00:00,3.171168,0.4873722571792271,616.0,2,17.5,shoulder,0.3,0.06
2026-05-08 13:00:00,3.1248359999999997,0.3477842872912754,607.0,2,18.2,shoulder,0.3,0.06
2026-05-08 14:00:00,2.77992,0.4230263121850336,540.0,2,18.4,shoulder,0.3,0.06
2026-05-08 15:00:00,2.1209759999999998,0.6581671308806321,412.0,3,18.6,shoulder,0.3,0.06
2026-05-08 16:00:00,1.271556,0.7968900303312567,247.0,2,17.9,peak,0.55,0.06
2026-05-08 17:00:00,0.38095199999999996,1.3880622695655216,74.0,0,16.8,peak,0.55,0.06
2026-05-08 18:00:00,0.0,1.8555390971540069,0.0,0,16.2,peak,0.55,0.06
2026-05-08 19:00:00,0.0,2.1310965452930093,0.0,3,15.7,peak,0.55,0.06
2026-05-08 20:00:00,0.0,1.7736022679243226,0.0,14,15.2,peak,0.55,0.06
2026-05-08 21:00:00,0.0,1.2954767382155694,0.0,6,14.9,shoulder,0.3,0.06
2026-05-08 22:00:00,0.0,0.670010118593902,0.0,5,14.4,off_peak,0.18,0.06
2026-05-08 23:00:00,0.0,0.5025889677657149,0.0,6,13.8,off_peak,0.18,0.06
