time,pv_kw,load_kw,shortwave_radiation,cloud_cover,temperature_2m,period,import_price,export_price
2025-03-03 00:00:00,0.0,0.33047729795520125,0.0,0.0,19.3,off_peak,0.18,0.06
2025-03-03 01:00:00,0.0,0.19056323375970668,0.0,12.2,18.2,off_peak,0.18,0.06
2025-03-03 02:00:00,0.0,0.3370788141084482,0.0,11.3,17.4,off_peak,0.18,0.06
2025-03-03 03:00:00,0.0,0.44716777283241205,0.0,10.0,17.4,off_peak,0.18,0.06
2025-03-03 04:00:00,0.0,0.22972070929886132,0.0,4.7,16.8,off_peak,0.18,0.06
2025-03-03 05:00:00,0.0,0.4333307305296444,0.0,21.6,17.8,off_peak,0.18,0.06
2025-03-03 06:00:00,0.36962639999999997,1.1047880466402313,71.8,14.2,18.4,off_peak,0.18,0.06
2025-03-03 07:00:00,1.3884156,1.6284861212565702,269.7,19.1,20.3,shoulder,0.3,0.06
2025-03-03 08:00:00,2.3238071999999996,1.6716965387269085,451.4,20.4,20.7,shoulder,0.3,0.06
2025-03-03 09:00:00,3.2334588,1.08380977532237,628.1,17.1,22.5,shoulder,0.3,0.06
2025-03-03 10:00:00,4.0164696,0.7165702177574964,780.2,13.0,23.2,shoulder,0.3,0.06
2025-03-03 11:00:00,4.3495452,0.513297781881253,844.9,15.4,24.0,shoulder,0.3,0.06
2025-03-03 12:00:00,4.5956196,0.38292825894825994,892.7,12.6,25.9,shoulder,0.3,0.06
2025-03-03 13:00:00,4.5132516,0.47741898143454425,876.7,10.9,26.7,shoulder,0.3,0.06
2025-03-03 14:00:00,4.450446,0.4823865820801103,864.5,0.0,26.8,shoulder,0.3,0.06
2025-03-03 15:00:00,3.6437544,0.43622737000479134,707.8,2.4,25.9,shoulder,0.3,0.06
2025-03-03 16:00:00,2.7443988000000004,0.82640757271505,533.1,0.0,26.5,peak,0.55,0.06
2025-03-03 17:00:00,1.4141556,1.2776006030403684,274.7,17.0,27.1,peak,0.55,0.06
2025-03-03 18:00:00,0.4138992,2.068800611882008,80.4,0.0,26.1,peak,0.55,0.06
2025-03-03 19:00:00,0.0,2.3214123051704605,0.0,8.6,25.0,peak,0.55,0.06
2025-03-03 20:00:00,0.0,2.0025164518302287,0.0,0.0,23.7,peak,0.55,0.06
2025-03-03 21:00:00,0.0,1.2913648036266152,0.0,2.3,22.2,shoulder,0.3,0.06
2025-03-03 22:00:00,0.0,0.9016842727711569,0.0,0.0,20.9,off_peak,0.18,0.06
2025-03-03 23:00:00,0.0,0.502262367005086,0.0,8.9,20.3,off_peak,0.18,0.06
2025-03-04 00:00:00,0.0,0.2650794462001983,0.0,45.9,18.1,off_peak,0.18,0.06
2025-03-04 01:00:00,0.0,0.24040637457247713,0.0,25.1,18.4,off_peak,0.18,0.06
2025-03-04 02:00:00,0.0,0.3358233432844604,0.0,39.7,17.5,off_peak,0.18,0.06
2025-03-04 03:00:00,0.0,0.3775255591771619,0.0,41.1,16.5,off_peak,0.18,0.06
2025-03-04 04:00:00,0.0,0.47855173850121524,0.0,42.1,17.3,off_peak,0.18,0.06
2025-03-04 05:00:00,0.0,0.7657063063152454,0.0,37.6,18.0,off_peak,0.18,0.06
2025-03-04 06:00:00,0.2723292,1.512632698257413,52.9,40.9,18.5,off_peak,0.18,0.06
2025-03-04 07:00:00,1.045044,1.821587756180237,203.0,46.2,19.2,shoulder,0.3,0.06
2025-03-04 08:00:00,1.7070767999999998,1.7087943676006723,331.6,49.8,20.1,shoulder,0.3,0.06
2025-03-04 09:00:00,2.2481316,1.1070712336783362,436.7,52.1,21.5,shoulder,0.3,0.06
2025-03-04 10:00:00,2.4612588000000004,0.6965907206609995,478.1,59.3,23.2,shoulder,0.3,0.06
2025-03-04 11:00:00,2.9338452,0.5454496762080377,569.9,53.5,24.1,shoulder,0.3,0.06
2025-03-04 12:00:00,2.80566,0.3774068274857214,545.0,59.4,26.1,shoulder,0.3,0.06
2025-03-04 13:00:00,2.8072044000000003,0.23857054363160768,545.3,56.9,26.5,shoulder,0.3,0.06
2025-03-04 14:00:00,2.9667923999999997,0.2079234962254478,576.3,44.1,26.1,shoulder,0.3,0.06
2025-03-04 15:00:00,2.4859692,0.4801820571624128,482.9,43.6,27.3,shoulder,0.3,0.06
2025-03-04 16:00:00,1.6483896,0.893325322748374,320.2,52.7,27.1,peak,0.55,0.06
2025-03-04 17:00:00,1.011582,1.4913039023531336,196.5,49.0,26.5,peak,0.55,0.06
2025-03-04 18:00:00,0.24298560000000002,1.9903770605068747,47.2,50.8,25.8,peak,0.55,0.06
2025-03-04 19:00:00,0.0,2.3160509975692505,0.0,21.5,25.0,peak,0.55,0.06
2025-03-04 20:00:00,0.0,2.0360215787519427,0.0,41.9,23.7,peak,0.55,0.06
2025-03-04 21:00:00,0.0,1.4160715440234266,0.0,15.6,22.5,shoulder,0.3,0.06
2025-03-04 22:00:00,0.0,0.9219041356824618,0.0,32.9,21.2,off_peak,0.18,0.06
2025-03-04 23:00:00,0.0,0.5577473021619564,0.0,12.4,19.9,off_peak,0.18,0.06
2025-03-05 00:00:00,0.0,0.4256908800068338,0.0,88.1,18.7,off_peak,0.18,0.06
2025-03-05 01:00:00,0.0,0.3710776058730494,0.0,74.8,17.5,off_peak,0.18,0.06
2025-03-05 02:00:00,0.0,0.3719761845111428,0.0,93.0,17.3,off_peak,0.18,0.06
2025-03-05 03:00:00,0.0,0.4275032791674385,0.0,81.3,17.1,off_peak,0.18,0.06
2025-03-05 04:00:00,0.0,0.27915398672215497,0.0,85.1,16.4,off_peak,0.18,0.06
2025-03-05 05:00:00,0.0,0.5759483641018932,0.0,83.4,17.2,off_peak,0.18,0.06
